legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,genere,relazione_complesso
Giannina,,,,,,,,,,,,,,luogo di morte,Voghera (Pavia),,,,,
"Censi, Giannina, danzatrice, coreografa, (Milano 1913 - Voghera 1995)",,,,,,,,,,,,,,,,,,,,
Gaifas,,,person,Elena,Gaifas,"Gaifas, Elena, gallerista, (Milano 1916 - Rovereto 1997)",SIUSA,,,1916 feb 10,1997 dic 13,luogo di nascita,Milano,luogo di nascita,Milano,Gallerista,,,femminile,ca-415380
Elena,,,,,,,,,,,,,,luogo di morte,Rovereto (Trento),,,,,
"Gaifas, Elena, gallerista, (Milano 1916 - Rovereto 1997)",,,,,,,,,,,,,,,,,,,,
Galleria Delfino,,,corporateBody,,,"Galleria Delfino, Rovereto, 1943 - 1990",SIUSA,1943 dic 18,1990 giu 30,,,Sede,Rovereto (Trento),Sede,Rovereto (Trento),,privato,ente economico/impresa,,ca-415380
"Galleria Delfino, Rovereto, 1943 - 1990",,,,,,,,,,,,,,,,,,,,
Kutinceff,Kutinceff Pancheri Mara,,person,Mara,Kutinceff,"Kutinceff Pancheri, Mara, gallerista, (Livorno 1929 - )",SIUSA,,,,,luogo di nascita,Livorno,luogo di nascita,Livorno,gallerista,,,femminile,ca-415399
Mara,,,,,,,,,,,,,,,,,,,,
"Kutinceff Pancheri, Mara, gallerista, (Livorno 1929 - )",,,,,,,,,,,,,,,,,,,,
Kutinceff Pancheri Mara,,,,,,,,,,,,,,,,,,,,
Galleria Pancheri,Bottega d'Arte,1960 - 1971 (?),corporateBody,,,"Galleria Pancheri, Rovereto, 1960 - 1994",SIUSA,1960,1994,,,Sede,Rovereto (Trento),Sede,Rovereto (Trento),,privato,ente economico/impresa,,ca-415399
"Galleria Pancheri, Rovereto, 1960 - 1994",,,,,,,,,,,,,,,,,,,,
"Bottega d'Arte, Rovereto, 1960 - 1971 (?)",,,,,,,,,,,,,,,,,,,,
Bottega d'Arte,,,,,,,,,,,,,,,,,,,,
Severini,,,person,Gino,Severini,"Severini, Gino, (Cortona 1883 - Parigi 1966)",SIUSA,,,1883 apr 04,1966 feb 26,luogo di nascita,Cortona (Arezzo),luogo di nascita,Cortona (Arezzo),Pittore e critico d'arte,,,maschile,ca-415515
Gino,,,,,,,,,,,,,,luogo di morte,Parigi,,,,,
"Severini, Gino, (Cortona 1883 - Parigi 1966)",,,,,,,,,,,,,,,,,,,,
Fort,,,person,Jeanne,Fort,"Fort Severini, Jeanne, (Parigi 1897 - Roma 1992)",SIUSA,,,1897 giu 16,1992 gen 22,luogo di nascita,Parigi,luogo di nascita,Parigi,,,,femminile,ca-415515
Jeanne,,,,,,,,,,,,,,luogo di morte,Roma,,,,,
"Fort Severini, Jeanne, (Parigi 1897 - Roma 1992)",,,,,,,,,,,,,,,,,,,,
Severini,,,person,Gina,Severini,"Severini Franchina, Gina, (Parigi 1915 - Roma 2004)",SIUSA,,,1915 gen 25,2004 ago 03,luogo di nascita,Parigi,luogo di nascita,Parigi,,,,femminile,ca-415515
Gina,,,,,,,,,,,,,,luogo di morte,Roma,,,,,
"Severini Franchina, Gina, (Parigi 1915 - Roma 2004)",,,,,,,,,,,,,,,,,,,,
Depero,,,person,Fortunato,Depero,"Depero, Fortunato, artista, (Fondo 1892 - Rovereto 1960)",SIUSA,,,1892 mar 30,1960 nov 29,luogo di nascita,Fondo (Trento),luogo di nascita,Fondo (Trento),"Pittore, scultore, scenografo, grafico pubblicitario, designer",,,maschile,ca-415753
Fortunato,,,,,,,,,,,,,,luogo di morte,Rovereto (Trento),,,,,
"Depero, Fortunato, artista, (Fondo 1892 - Rovereto 1960)",,,,,,,,,,,,,,,,,,,,
Amadori,,,person,Rosetta,Amadori,"Amadori Depero, Rosetta, (Rovereto 1893 - 1976)",SIUSA,,,1893 mar 13,1976 ago 15,luogo di nascita,Rovereto (Trento),luogo di nascita,Rovereto (Trento),,,,femminile,ca-415753
Rosetta,,,,,,,,,,,,,,luogo di morte,Rovereto (Trento),,,,,
